,line_text
0,right jim quarterly look good thing library
1,oh told close
2,come master guidance saying grasshopper
3,actually called yeah
4,right well let show done
5,phone yes like speak office manager please yes hello michael scott regional manager dunder mifflin paper product wanted talk manager manger quick cut scene right done deal thank much sir gentleman scholar oh sorry ok sorry mistake hang woman talking low voice probably smoker clear throat way done
6,uh dunder mifflin year last four regional manager want come see entire floor kingdom far eye see receptionist pam pam pam pam pam beesly pam u forever right pam
7,well know
8,think cute seen couple year ago growl
9,
10,message
11,uh yeah fax
12,oh pam corporate many time told special filing cabinet thing corporate
13,told
14,called wastepaper basket look look face
15,people say best bos go god never worked place like hilarious get best u show camera world best bos mug think pretty much sum found spencer gift
16,singing shall play pa rum pump um pum imitates heavy drumming gift pa rum pump um pum imitates heavy drumming
17,job speak client phone uh quantity type copier paper know whether supply whether pay boring talking
18,whassup
19,whassup still love seven year
20,whassup
21,whassup
22,whass
23,whassup
24,strain grunt
25,nothing
26,ok right see later
27,right take care
28,back work
29,cell phone lunch would great
30,corporate really really interfere jan levinson gould walking office jan hello call hillary rodham clinton right face well scared um yeah
31,alright anything wanted add agenda
32,um get agenda
33,sorry
34,get agenda
35,well faxed one morning
36,really look pam get fax morning
37,uh yeah one
38,hand company run efficiency communication right problem pam get
39,put garbage special filing cabinet
40,yeah joke joke actually brother supposed bill work great fax
41,want look mine
42,yeah yeah lovely thank
43,ok since last meeting ellen board decided justify scranton branch stamford branch
44,ok
45,michael panic
46,good good fine excellent
47,michael listen ok panic made decided
48,alarm bell kind going ringie dingie ding
49,spoken josh stamford told either convince branch incorporate
50,ok problem
51,however mean going downsizing
52,wanna hear jan downsizing bitch real bitch wish josh men certainly wish men woman present company excluded sorry uh josh concerned downsizing downsizing concerned downsizing
53,question long telephone ring oh uh todd packer terrific rep mind take
54,go ahead
55,packman
56,oh appropriate
57,uh know mean
58,oh god oh horrifying horrible horrible person
59,think could keep lid want worry people unnecessarily
60,absolutely regime leave office zip lip like
61,downsizing actually mean
62,well
63,guy better update resume like
64,bet gonna probably gonna
65,yeah
66,important question
67,yes
68,going angela cat party sunday
69,yeah stop ridiculous
70,going tell going tell see point doctor would tell patient cancer
71,hey
72,hey
73,mr scott
74,guilty guilty charged
75,ryan howard temp agency daniqua sent start today
76,howard like moe howard three stooge
77,yup
78,watch moe nyuck nyuck nyuck nyuck nyuck mee hold hand high five ah right three stooge oh pam guy thing pam sort student comedy watch go yelling cod german hitler adolf hitler continues cod german
79,think would worst thing let go might think many little girl dream receptionist like illustration um mostly watercolor oil pencil um jim think good
80,dunder mifflin pam
81,sure mr davis let call right back yeah something came two minute thank much dwight
82,
83,
84,clearing desk concentrate
85,desk
86,overlapping spilling edge one word two syllable demarcation
87,
88,
89,safety violation could fall pierce organ
90,cross finger see dwight begin smashing pencil phone whole downsizing thing bother
91,downsizing
92,downsizing problem recommending downsizing since first got even brought interview say bring
93,still message yesterday
94,relax everything control uh yeah yeah important right oh important run answer imitating six million dollar man sound effect
95,
96,come six million dollar man steve austin actually would good salary think six million dollar memo jan deserve raise
97,
98,sorry
99,nothing
100,unhappy compensation maybe take hr ok today ok pam professional sigh
101,think role model think garner people respect imitating pa attention dunder mifflin employee please meeting conference room asap
102,people respect hero mine would bob hope abraham lincoln definitely bono probably god would fourth one think people really helped world many way really beyond word really incalculable
103,know rumor kind want set record straight
104,assistant regional manager know first
105,assistant regional manager
106,ok um tell please tell quietly whisper ear
107,tell everybody tell everybody
108,tell u
109,please ok want tell em
110,know laugh
111,ok tell em permission permission granted
112,need permission
113,go ahead
114,corporate deemed appropriate enforce ultimatum upon jan thinking downsizing either stamford branch branch
115,heard might closing branch rumor going around first day really know
116,yeah michael downsize
117,gonna happen
118,could hand michael
119,hand stanley ok promise
120,promise
121,mother grave
122,
123,
124,well yeah promise frankly little insulted keep asking
125,need know
126,know hold second think pam wanted say something pam look wanted ask question
127,meeting jan say could branch get axe
